k,E,r_expect,PR,x,round_n
0,-3.194371,1.008226,4.302580,0.040409,0
1,0.805629,1.008226,3.978482,0.040409,0
2,0.805629,1.008226,4.204100,0.040409,0
3,0.805629,1.008226,4.035357,0.040409,0
4,2.127668,1.217746,4.341458,0.971730,1
5,6.127668,1.217746,2.143946,0.971730,1
6,6.127668,1.217746,1.861860,0.971730,1
7,6.127668,1.217746,2.170203,0.971730,1
8,17.026701,1.499313,4.048660,1.997741,2
9,21.026701,1.499313,2.018308,1.997741,2
10,21.026701,1.499313,1.735160,1.997741,2
11,21.026701,1.499313,2.024330,1.997741,2
12,42.011423,1.836915,4.019377,2.999457,3
13,46.011420,1.836915,2.002033,2.999457,3
14,46.011428,1.836915,1.722617,2.999457,3
15,46.011441,1.836914,2.009684,2.999455,3
16,76.990014,2.250093,4.013272,4.000203,4
17,80.983802,2.250170,1.994666,4.000372,4
18,81.000777,2.249975,1.710869,3.999946,4
19,81.028562,2.249663,2.003264,3.999262,4
