k,eigenvalue,r_expect,PR,x_scaled_log,shell_index
0,-0.08373982238274622,1.0,1.0,0.0,0
1,-0.0069137934726139555,1.0,1.0,0.0,0
2,0.009212665843410921,1.0,1.0,0.0,0
3,0.13535858895693972,1.0,1.0,0.0,0
4,4.851946348743498,1.8552769586143047,1.0,1.0,1
5,4.911186614626635,1.8552769586143047,1.0,1.0,1
6,4.940559964780126,1.8552769586143047,1.0,1.0,1
7,4.9641983311925575,1.8552769586143047,1.0,1.0,1
8,19.86178184846229,3.4420525931651444,1.0,1.9999999999999996,2
9,20.039282746825986,3.4420525931651444,1.0,1.9999999999999996,2
10,20.08035850193785,3.4420525931651444,1.0,1.9999999999999996,2
11,20.17207698311659,3.4420525931651444,1.0,1.9999999999999996,2
12,44.81690941741524,6.385960866437911,1.0,3.0,3
13,44.89594560608425,6.385960866437911,1.0,3.0,3
14,44.95831035183868,6.390418791180968,1.0016337440989076,3.0011291264410684,3
15,45.04746970884632,6.385960866437911,1.0,3.0,3
16,79.89302475887104,11.847726054114897,1.0,4.0,4
17,79.93949992871913,11.847726054114897,1.0,4.0,4
18,79.9751909592552,11.843268129371838,1.0016337440989076,3.9993910703972295,4
19,80.07054012852333,11.852757924742258,1.0009936496727854,4.000687052452739,4
20,124.95686124296472,21.975781289546383,1.0009936496727854,4.999629555572284,5
21,124.98107556590634,21.980813160173742,1.0,4.999999999999999,5
22,125.03286620022821,21.980813160173742,1.0,4.999999999999999,5
23,125.04278904406947,21.980813160173742,1.0,4.999999999999999,5
24,179.8523142183154,40.78049618767643,1.0,5.999999999999999,6
25,179.96572138491354,40.78049618767643,1.0,5.999999999999999,6
26,180.03619218539285,40.78049618767643,1.0,5.999999999999999,6
27,180.1320661655528,40.78049618767643,1.0,5.999999999999999,6
28,244.96685118279026,75.65911493785457,1.0,7.0,7
29,245.03833771131823,75.65911493785457,1.0,7.0,7
30,245.1067222416572,75.65911493785457,1.0,7.0,7
31,245.11145924445773,75.65911493785457,1.0,7.0,7
32,319.9868862469797,140.36861265335295,1.0,8.0,8
33,320.03487758940463,140.36861265335295,1.0,8.0,8
34,320.1951012560126,140.36861265335295,1.0,8.0,8
35,320.20769805290536,140.36861265335295,1.0,8.0,8
36,404.91543389672313,260.42265276842204,1.0,8.999999999999998,9
37,405.0069381135132,260.42265276842204,1.0,8.999999999999998,9
38,405.0160190593316,260.42265276842204,1.0,8.999999999999998,9
39,405.1076240157465,260.42265276842204,1.0,8.999999999999998,9
40,499.9166631194051,483.15614718246724,1.0,10.0,10
41,499.99741371520463,483.15614718246724,1.0,10.0,10
42,500.03139082114575,483.15614718246724,1.0,10.0,10
43,500.0333070372618,483.15614718246724,1.0,10.0,10
44,604.7927016564006,896.3884672804932,1.0,10.999999999999998,11
45,604.8410432506689,896.3884672804932,1.0,10.999999999999998,11
46,604.8882615887009,896.3884672804932,1.0,10.999999999999998,11
47,604.9541324715059,896.3884672804932,1.0,10.999999999999998,11
48,719.8957987356258,1663.1397165231258,1.0001277490103153,12.0000883857724,12
49,719.970680841335,1663.0488693130917,1.0,11.999999999999998,12
50,720.1105993369906,1663.0488693130917,1.0,11.999999999999998,12
51,720.1937231162428,1663.0488693130917,1.0,11.999999999999998,12
52,844.959292176365,3085.416248286151,1.0,13.0,13
53,844.9715636161961,3085.416248286151,1.0,13.0,13
54,845.0265247176816,3085.325401076117,1.0001277490103153,12.999952357793607,13
55,845.0347708452451,3085.416248286151,1.0,13.0,13
56,979.8858061773858,5724.301673179489,1.0,14.0,14
57,979.9660741516116,5724.301673179489,1.0,14.0,14
58,980.0619171116975,5724.301673179489,1.0,14.0,14
59,980.1063851532734,5724.301673179489,1.0,14.0,14
