k,eigenvalue,r_expect,PR,x_scaled_log,shell_index
0,-0.08373982238274622,1.0,1.0,0.0,0
1,-0.0069137934726139555,1.0,1.0,0.0,0
2,0.009212665843410921,1.0,1.0,0.0,0
3,0.13535858895693972,1.0,1.0,0.0,0
4,4.851946348743498,1.224744871391589,1.0,1.0,1
5,4.911186614626635,1.224744871391589,1.0,1.0,1
6,4.940559964780126,1.224744871391589,1.0,1.0,1
7,4.9641983311925575,1.224744871391589,1.0,1.0,1
8,19.861781848462297,1.4999999999999998,1.0,2.0,2
9,20.039282746825993,1.4999999999999998,1.0,2.0,2
10,20.08035850193786,1.4999999999999998,1.0,2.0,2
11,20.172076983116597,1.4999999999999998,1.0,2.0,2
12,44.816909417415246,1.8371173070873832,1.0,3.0,3
13,44.89594560608425,1.8371173070873832,1.0,3.0,3
14,44.98689133493123,1.8371173070873832,1.0,3.0,3
15,45.04746970884632,1.8371173070873832,1.0,3.0,3
16,79.89302475887102,2.249999999999999,1.0,3.9999999999999996,4
17,79.93949992871912,2.249999999999999,1.0,3.9999999999999996,4
18,79.94660997616263,2.249999999999999,1.0,3.9999999999999996,4
19,80.07054012852333,2.2502511076818568,1.0009936496727854,4.000550465057188,4
20,124.95686124296476,2.7554248529492167,1.0009936496727854,4.999550501602804,5
21,124.98107556590637,2.7556759606310743,1.0,5.0,5
22,125.03286620022824,2.7556759606310743,1.0,5.0,5
23,125.0427890440695,2.7556759606310743,1.0,5.0,5
24,179.85231421831543,3.3749999999999982,1.0,6.0,6
25,179.96572138491356,3.3749999999999982,1.0,6.0,6
26,180.03619218539288,3.3749999999999982,1.0,6.0,6
27,180.13206616555283,3.3749999999999982,1.0,6.0,6
28,244.9668511827902,4.13351394094661,1.0,6.999999999999999,7
29,245.03833771131818,4.13351394094661,1.0,6.999999999999999,7
30,245.10672224165714,4.13351394094661,1.0,6.999999999999999,7
31,245.11145924445768,4.13351394094661,1.0,6.999999999999999,7
32,319.9868862469797,5.0624999999999964,1.0,8.0,8
33,320.03487758940463,5.0624999999999964,1.0,8.0,8
34,320.1951012560126,5.0624999999999964,1.0,8.0,8
35,320.20769805290536,5.0624999999999964,1.0,8.0,8
36,404.91543389672324,6.200270911419914,1.0,9.0,9
37,405.0069381135133,6.200270911419914,1.0,9.0,9
38,405.0160190593317,6.200270911419914,1.0,9.0,9
39,405.10762401574664,6.200270911419914,1.0,9.0,9
40,499.916663119405,7.593749999999993,1.0,9.999999999999998,10
41,499.9974137152045,7.593749999999993,1.0,9.999999999999998,10
42,500.03139082114564,7.593749999999993,1.0,9.999999999999998,10
43,500.0333070372617,7.593749999999993,1.0,9.999999999999998,10
44,604.7927016564008,9.30040636712987,1.0,11.0,11
45,604.8410432506691,9.30040636712987,1.0,11.0,11
46,604.8882615887011,9.30040636712987,1.0,11.0,11
47,604.9541324715061,9.30040636712987,1.0,11.0,11
48,719.9037908883658,11.390624999999988,1.0,12.0,12
49,719.9706808413351,11.390624999999988,1.0,12.0,12
50,720.1105993369907,11.390624999999988,1.0,12.0,12
51,720.193723116243,11.390624999999988,1.0,12.0,12
52,844.959292176365,13.950609550694804,1.0,13.0,13
53,844.971563616196,13.950609550694804,1.0,13.0,13
54,845.0185325649416,13.950609550694804,1.0,13.0,13
55,845.0347708452451,13.950609550694804,1.0,13.0,13
56,979.8858061773858,17.08593749999998,1.0,14.0,14
57,979.9660741516116,17.08593749999998,1.0,14.0,14
58,980.0619171116975,17.08593749999998,1.0,14.0,14
59,980.1063851532734,17.08593749999998,1.0,14.0,14
