k,eigenvalue,r_expect,PR,x_scaled_log,shell_index
0,-0.25192369943259946,1.0303396924281072,1.0731223072507685,0.04836068385871178,0
1,-0.23091014315637343,1.0322824423304744,1.0779749179774043,0.05140868402341448,0
2,-0.19070921930836734,1.0307261143717499,1.0740830124852438,0.04896740281360966,0
3,-0.17879521472323814,1.031362255714854,1.0756664489439014,0.0499657095422399,0
4,5.01694113173541,1.8298830708601117,1.0874676363444118,0.9777003855876654,1
5,5.142381115625076,1.8310954622876658,1.0855418729466548,0.9787720611473022,1
6,5.154788246442645,1.8320142521876954,1.082828958417596,0.9795837394391476,1
7,5.183169691333583,1.8316701123476555,1.0838575292746342,0.9792797667688514,1
8,19.924349186420386,3.4395175914385243,1.0122627098009003,1.9988079118483966,2
9,20.030490120405386,3.4396574581925954,1.0122384362584835,1.9988737072847333,2
10,20.04745150940541,3.439683891299333,1.0121738234788062,1.9988861415173023,2
11,20.106398236162725,3.4399363171739354,1.011978010916254,1.9990048787826025,2
12,44.93264928175086,6.385634758350651,1.0048799059014504,2.999917370705304,3
13,44.981967798287194,6.385683536243647,1.0048472885371216,2.9999297303203334,3
14,45.04097235206121,6.385708321795068,1.0048397679180672,2.9999360105856443,3
15,45.08492033923456,6.385782520510253,1.0048014123013902,2.9999548112166083,3
16,79.9777810915782,11.848275158041098,1.0026168717938877,4.000074988923924,4
17,80.02474556276127,11.848275696419377,1.002617336269285,4.000075062446385,4
18,80.04705132198309,11.848268906423,1.0026276352616983,4.000074135185039,4
19,80.0486531678569,11.848281359695036,1.002623504863293,4.000075835839116,4
20,125.0156932612732,21.982021357235606,1.0016518151545144,5.000088934388929,5
21,125.01573427470876,21.98203719690991,1.001648705629332,5.000090100301823,5
22,125.01757294672696,21.982016558179446,1.0016510663160234,5.000088581144033,5
23,125.05741482181462,21.98205352989569,1.001650802061785,5.000091302525078,5
24,179.9596839593646,40.782491219607884,1.0011360692507496,6.000079154272715,6
25,179.99517782534687,40.782531975920335,1.0011355400760562,6.00008077126726,6
26,179.99541630051363,40.78254397439768,1.0011362174202159,6.0000812473029645,6
27,180.02197803803074,40.78252404967367,1.0011341592166398,6.0000804567959145,6
28,244.94913737684524,75.66234835462768,1.000829781912295,7.000069147867402,7
29,244.99580342501184,75.66235888958322,1.0008290542162943,7.000069373156669,7
30,245.05200498023777,75.66241394132948,1.0008287034647012,7.000070550433791,7
31,245.07610542417362,75.66238725887517,1.0008287328047178,7.00006997983178,7
32,319.9604688991039,140.3736868927376,1.0006317356594763,8.000058489880617,8
33,319.9644099555062,140.37368371216925,1.0006331297002038,8.000058453219417,8
34,320.0116855602881,140.3737174732983,1.000632179010716,8.000058842371047,8
35,320.0437935376404,140.37371551887895,1.0006328505069713,8.000058819843204,8
36,405.001807479156,260.4307165916497,1.0004981596603577,9.000050100626511,9
37,405.04331362840026,260.4307899556809,1.000499198375221,9.00005055643096,9
38,405.0440676782779,260.430756330415,1.0004985669698812,9.000050347520075,9
39,405.06767708400355,260.43073198895416,1.0004975996775038,9.000050196288656,9
40,499.900857590178,483.16875154375157,1.000403158465245,10.000042209995815,10
41,499.99075214070484,483.1689047858253,1.000403258100507,10.000042723172307,10
42,500.0287104984845,483.1689202060557,1.0004027562795,10.000042774811506,10
43,500.1173673983749,483.16906907248114,1.0004033135761201,10.000043273334672,10
44,604.9866510744183,896.3508914849327,1.0001818768948922,10.999932172053809,11
45,605.0149160023143,896.3510022440638,1.0001813407437596,10.999932371988933,11
46,605.0749859344734,896.3511090213581,1.0001808238680097,10.999932564736284,11
47,605.0897313578298,896.3510285244892,1.0001812135308425,10.999932419428632,11
